"yr.eduexp","lifexp","GNI","matermor","adobirth","repreparl"
"Namibia",11.3,64.8,9418,130,54.9,37.7
"Guatemala",10.7,71.8,6929,140,97.2,13.3
"Tajikistan",11.2,69.4,2517,44,42.8,15.2
"India",11.7,68,5497,190,32.8,12.2
"Honduras",11.1,73.1,3938,120,84,25.8
"Bhutan",12.6,69.5,7176,120,40.9,8.3
"Timor-Leste",11.7,68.2,5363,270,52.2,38.5
"Syrian Arab Republic",12.3,69.6,2728,49,41.6,12.4
"Vanuatu",10.6,71.9,2803,86,44.8,0
"Congo",11.1,62.3,6012,410,126.7,11.5
"Kiribati",12.3,66,2434,130,16.6,8.7
"Equatorial Guinea",9,57.6,21056,290,112.6,19.7
"Zambia",13.5,60.1,3734,280,125.4,12.7
"Ghana",11.5,61.4,3852,380,58.4,10.9
"Bangladesh",10,71.6,3191,170,80.6,20
"Cambodia",10.9,68.4,2949,170,44.3,19
"Sao Tome and Principe",11.3,66.5,2918,210,65.1,18.2
"Kenya",11,61.6,2762,400,93.6,20.8
"Nepal",12.4,69.6,2311,190,73.7,29.5
"Pakistan",7.8,66.2,4866,170,27.3,19.7
"Myanmar",8.6,65.9,4608,200,12.1,4.7
"Angola",11.4,52.3,6822,460,170.2,36.8
"Swaziland",11.3,49,5542,310,72,14.7
"Tanzania (United Republic of)",9.2,65,2411,410,122.7,36
"Nigeria",9,52.8,5341,560,119.6,6.6
"Cameroon",10.4,55.5,2803,590,115.8,27.1
"Madagascar",10.3,65.1,1328,440,122.8,20.5
"Zimbabwe",10.9,57.5,1615,470,60.3,35.1
"Mauritania",8.5,63.1,3560,320,73.3,22.2
"Solomon Islands",9.2,67.9,1540,130,64.9,2
"Papua New Guinea",9.9,62.6,2463,220,62.1,2.7
"Comoros",11.5,63.3,1456,350,51.1,3
"Yemen",9.2,63.8,3519,270,47,0.7
"Lesotho",11.1,49.8,3306,490,89.4,26.8
"Togo",12.2,59.7,1228,450,91.5,17.6
"Haiti",8.7,62.8,1669,380,42,3.5
"Rwanda",10.3,64.2,1458,320,33.6,57.5
"Uganda",9.8,58.5,1613,360,126.6,35
"Benin",11.1,59.6,1767,340,90.2,8.4
"Sudan",7,63.5,3809,360,84,23.8
"Djibouti",6.4,62,3276,230,18.6,12.7
"South Sudan",7.6,55.7,2332,730,75.3,24.3
"Senegal",7.9,66.5,2188,320,94.4,42.7
"Afghanistan",9.3,60.4,1885,400,86.8,27.6
"Côte d'Ivoire",8.9,51.5,3171,720,130.3,9.2
"Malawi",10.8,62.8,747,510,144.8,16.7
"Ethiopia",8.5,64.1,1428,420,78.4,25.5
"Gambia",8.8,60.2,1507,430,115.8,9.4
"Congo (Democratic Republic of the)",9.8,58.7,680,730,135.3,8.2
"Liberia",9.5,60.9,805,640,117.4,10.7
"Guinea-Bissau",9,55.2,1362,560,99.3,13.7
"Mali",8.4,58,1583,550,175.6,9.5
"Mozambique",9.3,55.1,1123,480,137.8,39.6
"Sierra Leone",8.6,50.9,1780,1100,100.7,12.4
"Guinea",8.7,58.8,1096,650,131,21.9
"Burkina Faso",7.8,58.7,1591,400,115.4,13.3
"Burundi",10.1,56.7,758,740,30.3,34.9
"Chad",7.4,51.6,2085,980,152,14.9
"Eritrea",4.1,63.7,1130,380,65.3,22
"Central African Republic",7.2,50.7,581,880,98.3,12.5
"Niger",5.4,61.4,908,630,204.8,13.3
